NAME                                                 CATALOG               AGE
openshiftartifactoryha-operator                      Certified Operators   36d
runtime-fabric-operator                              Certified Operators   36d
ack-cloudtrail-controller                            Community Operators   36d
project-quay                                         Community Operators   36d
kubearmor-operator-certified                         Certified Operators   36d
openshift-nfd-operator                               Community Operators   36d
rhpam-kogito-operator                                Red Hat Operators     36d
netapp-spark-operator                                Certified Operators   36d
cockroachdb-certified                                Certified Operators   36d
node-maintenance-operator                            Community Operators   36d
mcg-operator                                         Red Hat Operators     36d
kernel-module-management                             Red Hat Operators     36d
snapscheduler                                        Community Operators   36d
edp-keycloak-operator                                Community Operators   36d
etcd                                                 Community Operators   36d
openshift-custom-metrics-autoscaler-operator         Red Hat Operators     36d
rhbk-operator                                        Red Hat Operators     36d
quay-operator                                        Red Hat Operators     36d
logging-operator                                     Community Operators   36d
observability-operator                               Community Operators   36d
must-gather-operator                                 Community Operators   36d
metallb-operator                                     Red Hat Operators     36d
amq-streams-console                                  Red Hat Operators     36d
aws-load-balancer-operator                           Red Hat Operators     36d
cluster-impairment-operator                          Community Operators   36d
hedvig-operator                                      Community Operators   36d
pachyderm-operator-rhmp                              Red Hat Marketplace   36d
openshift-pipelines-operator-rh                      Red Hat Operators     36d
anzograph-operator-rhmp                              Red Hat Marketplace   36d
pelorus-operator                                     Community Operators   36d
multicluster-global-hub-operator                     Community Operators   36d
limitador-operator                                   Red Hat Operators     36d
amq-broker-rhel8                                     Red Hat Operators     36d
digitalai-release-operator                           Certified Operators   36d
trustify-operator                                    Community Operators   36d
ack-sagemaker-controller                             Community Operators   36d
snyk-operator                                        Community Operators   36d
